method,median_end_to_end_ns,median_end_to_end_ms
B1,639155852.5,639.1558525
C1,592147642.5,592.1476425
C1,475665322.5,475.6653225
C0,496271693.5,496.2716935
C0,445807127.0,445.807127
C0,297466465.0,297.466465
B0,274721191.5,274.7211915
C1,84695569.0,84.695569
C1,274422878.5,274.4228785
C0,80147776.0,80.147776
C0,82809963.5,82.8099635
B1,320779315.0,320.779315
C1,486531828.5,486.5318285
B1,481193548.5,481.1935485
B0,382348828.0,382.348828
B0,315176344.5,315.1763445
C1,92823216.5,92.8232165
B0,584315375.0,584.315375
C1,91453630.0,91.45363
C0,96033532.5,96.0335325
B0,737530690.5,737.5306905
C1,355406972.0,355.406972
B0,289225546.0,289.225546
B1,570238953.0,570.238953
C0,288595977.5,288.5959775
B1,405849531.5,405.8495315
C0,499895614.5,499.8956145
C0,111820983.5,111.8209835
C0,318813082.0,318.813082
B0,576798398.5,576.7983985
B0,321081770.0,321.08177
B1,538647732.0,538.647732
B0,592404047.5,592.4040475
C1,552303935.5,552.3039355
C0,102243217.0,102.243217
C0,337905035.5,337.9050355
C0,82209458.0,82.209458
B0,108391427.5,108.3914275
C0,407189437.0,407.189437
B0,92516531.0,92.516531
C0,326459588.0,326.459588
B0,564304125.5,564.3041255
C0,287408193.0,287.408193
B1,80251139.0,80.251139
C0,537004508.0,537.004508
C0,475339387.5,475.3393875
B1,78508819.5,78.5088195
B0,77599974.5,77.5999745
C1,233623242.0,233.623242
C1,234645260.5,234.6452605
C1,482368836.5,482.3688365
C1,79352284.0,79.352284
B1,83043455.0,83.043455
B1,481963172.5,481.9631725
B0,269671285.5,269.6712855
C0,59812087.5,59.8120875
B1,76370284.5,76.3702845
C0,549701643.5,549.7016435
B0,291856205.5,291.8562055
B1,294341331.5,294.3413315
B0,549499093.5,549.4990935
C1,78281025.0,78.281025
C1,74694705.5,74.6947055
C1,86264980.5,86.2649805
B1,79856455.0,79.856455
C0,521305691.5,521.3056915
B0,303936700.5,303.9367005
C0,530026870.5,530.0268705
C0,268024658.5,268.0246585
B1,273813636.0,273.813636
B0,81832923.5,81.8329235
C0,551772680.0,551.77268
B1,504705266.5,504.7052665
B1,239232035.0,239.232035
B1,79098060.5,79.0980605
C1,298710265.0,298.710265
C1,77448849.5,77.4488495
C1,245214495.0,245.214495
C0,296108394.0,296.108394
B1,316369226.5,316.3692265
C0,291924394.5,291.9243945
C1,299716244.5,299.7162445
B1,80047754.0,80.047754
C1,278446883.5,278.4468835
C1,318372773.0,318.372773
