factor,method,level,runs,median_end_to_end_ns,median_match_ns,median_chain_read_ns,median_throughput_rps,median_cache_hit_rate,concurrency,median_end_to_end_ms
concurrency,B0,1,810,52769588.5,33340.75,51078581.5,17.874534048559006,0.0,1,52.7695885
concurrency,B0,4,810,196128082.0,33991.75,193767521.0,17.921874560750577,0.0,4,196.128082
concurrency,B0,16,810,340365555.25,34425.0,337742716.75,17.994714051143152,0.0,16,340.36555525
concurrency,B1,1,810,52862799.5,70385.75,51212264.5,17.859210247010004,0.75,1,52.8627995
concurrency,B1,4,810,196583460.0,71816.0,194040565.75,17.992833688222944,0.75,4,196.58346
concurrency,B1,16,810,345931352.25,72086.5,343477509.5,17.866369580938695,0.75,16,345.93135225
concurrency,C0,1,810,52848077.0,59234.5,51136519.0,17.849416607458544,0.0,1,52.848077
concurrency,C0,4,810,198682018.5,60792.75,196027093.0,17.829610199041877,0.0,4,198.6820185
concurrency,C0,16,810,345556890.5,61348.25,342640279.5,17.84264817671502,0.0,16,345.5568905
concurrency,C1,1,810,53158260.75,91445.5,51368161.25,17.668607810695164,0.625,1,53.15826075
concurrency,C1,4,810,198938822.75,94453.75,196361487.75,17.76443165217087,0.625,4,198.93882275
concurrency,C1,16,810,348871474.5,93612.25,346055362.5,17.86963607101832,0.625,16,348.8714745
