factor,method,level,runs,median_end_to_end_ns,median_match_ns,median_chain_read_ns,median_throughput_rps,median_cache_hit_rate,fragmentation,median_match_us
fragmentation,B0,0.0,810,195698316.0,25966.5,193371927.75,17.950089390671593,0.0,0.0,25.9665
fragmentation,B0,0.49504950495049505,810,196250798.75,33861.75,193282474.75,17.925356391208904,0.0,0.5,33.86175
fragmentation,B0,1.0,810,197012258.75,39685.25,194524674.0,17.91654025098027,0.0,1.0,39.68525
fragmentation,B1,0.0,810,197384486.75,60702.25,194908392.0,17.889202700595504,0.875,0.0,60.70225
fragmentation,B1,0.49504950495049505,810,197207387.0,71790.75,194496463.25,17.953676247810005,0.625,0.5,71.79075
fragmentation,B1,1.0,810,194951383.75,78934.5,192333576.5,17.878571099452042,0.625,1.0,78.9345
fragmentation,C0,0.0,810,196927344.25,32529.0,194753053.75,17.871449888224667,0.0,0.0,32.529
fragmentation,C0,0.49504950495049505,810,198682018.5,60354.0,195981396.75,17.84648338171028,0.0,0.5,60.354
fragmentation,C0,1.0,810,199639127.0,74699.25,197287458.0,17.83161249121116,0.0,1.0,74.69925
fragmentation,C1,0.0,810,197872056.0,64484.5,195298294.0,17.845882662811213,0.625,0.0,64.4845
fragmentation,C1,0.49504950495049505,810,199390087.0,92965.75,196981650.5,17.711408791556533,0.5,0.5,92.96575
fragmentation,C1,1.0,810,198938822.75,108147.0,196334962.25,17.77618879174249,0.625,1.0,108.147
