method,concurrency,runs,median_end_to_end_ms,median_throughput_rps
B0,1,810,52.7695885,17.874534048559006
B0,4,810,196.128082,17.921874560750577
B0,16,810,340.36555525,17.994714051143152
B1,1,810,52.8627995,17.859210247010004
B1,4,810,196.58346,17.992833688222944
B1,16,810,345.93135225,17.866369580938695
C0,1,810,52.848077,17.849416607458544
C0,4,810,198.6820185,17.829610199041877
C0,16,810,345.5568905,17.84264817671502
C1,1,810,53.15826075,17.668607810695164
C1,4,810,198.93882275,17.76443165217087
C1,16,810,348.8714745,17.86963607101832
