method,locality,runs,median_cache_hit_rate,median_end_to_end_ms
B0,INTERVAL_HOTSPOT,810,0.0,195.35385075
B0,NODE_HOTSPOT,810,0.0,195.89852675
B0,UNIFORM,810,0.0,197.80978425
B1,INTERVAL_HOTSPOT,810,0.75,198.04349575
B1,NODE_HOTSPOT,810,0.75,196.93630225
B1,UNIFORM,810,0.125,195.23058975
C0,INTERVAL_HOTSPOT,810,0.0,197.2896155
C0,NODE_HOTSPOT,810,0.0,198.789436
C0,UNIFORM,810,0.0,199.71080325
C1,INTERVAL_HOTSPOT,810,0.625,198.64315525
C1,NODE_HOTSPOT,810,0.75,200.2156925
C1,UNIFORM,810,0.125,198.17994975
