attack_id,attack,expected_code,baseline_result,proposed_result,consistent
A01,修改resource_id,INVALID_SIGNATURE,PASS,PASS,YES
A02,修改policy_digest,INVALID_SIGNATURE,PASS,PASS,YES
A03,修改epoch,INVALID_SIGNATURE,PASS,PASS,YES
A04,替换user_key_id,INVALID_SIGNATURE,PASS,PASS,YES
A05,修改operation,INVALID_SIGNATURE,PASS,PASS,YES
A06,修改not_before,INVALID_SIGNATURE,PASS,PASS,YES
A07,修改expires_at,INVALID_SIGNATURE,PASS,PASS,YES
A08,修改nonce,INVALID_SIGNATURE,PASS,PASS,YES
A09,伪造签名,INVALID_SIGNATURE,PASS,PASS,YES
A10,旧Epoch令牌,EPOCH_MISMATCH,PASS,PASS,YES
A11,已过期令牌,EXPIRED,PASS,PASS,YES
A12,尚未生效令牌,NOT_YET_VALID,PASS,PASS,YES
A13,重复Nonce,NONCE_REPLAY,PASS,PASS,YES
A14,并发重放,仅一次成功,PASS,PASS,YES
A15,已撤销或停用资源,RESOURCE_INACTIVE,PASS,PASS,YES
A16,已停用用户,USER_INACTIVE,PASS,PASS,YES
A17,错误公钥,USER_KEY_MISMATCH,PASS,PASS,YES
A18,非规范CAP1编码,MALFORMED_TOKEN,PASS,PASS,YES
