id,category,topic,title,authors,year,venue,doi,doi_url,official,source2,status,preprint,errata,grade,rc,problem,method,conclusion,experiment,limitation,same,diff,support,cannot,sections,order,download,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,verification_date
L01,奠基必读,T1,Maintaining Knowledge about Temporal Intervals,James F. Allen,1983,"Communications of the ACM, 26(11): 832–843",10.1145/182.358434,https://doi.org/10.1145/182.358434,https://dl.acm.org/doi/10.1145/182.358434,https://dblp.org/rec/journals/cacm/Allen83,正式发表（同行评审期刊论文）,未发现需替代正式版本的同名预印本,截至2026-07-30，出版商/DBLP或第二核验页面未见撤稿标识；未进行PubPeer等平台的穷尽性审计。,A,研究内容一,建立时间区间关系的定性推理框架。,定义13种基本区间关系及其组合推理，用于表达先后、重叠、包含等关系。,区间关系代数是处理时间窗口相交、包含和边界关系的理论基础，但它不自动给出策略规范形式。,理论模型与示例，无现代系统性能实验。,不讨论授权、确定性序列化、摘要绑定或Dyadic覆盖。,都需要精确定义区间关系和边界语义。,你的I*处理窗口集合的规范化与唯一字节表示，而Allen代数处理关系推理。,可支撑区间语义、关系分类和边界讨论。,不能支撑I*新颖性、压缩性或区块链执行。,关系定义、组合表、推理算法与不完备性讨论,4,是,4,4,5,3,3,4,4,4,2026-07-30
L02,奠基必读/研究内容一,T1,A Temporal Authorization Model,Elisa Bertino; Claudio Bettini; Pierangela Samarati,1994,ACM CCS 1994,10.1145/191177.191202,https://doi.org/10.1145/191177.191202,https://dl.acm.org/doi/10.1145/191177.191202,https://dblp.org/rec/conf/ccs/BertinoBS94,正式发表（同行评审会议论文）,未发现需替代正式版本的同名预印本,截至2026-07-30，出版商/DBLP或第二核验页面未见撤稿标识；未进行PubPeer等平台的穷尽性审计。,A,研究内容一,把授权有效期和时间依赖纳入访问控制模型。,以时间区间、授权和规则形式化授权状态及其演化。,时间维度应作为授权语义的一等元素，并需分析不良授权状态。,理论模型，无现代分布式实验。,没有I*、policyDigest、编译器或区块链状态。,都把时间有效性纳入授权判定。,本文重心是时态授权逻辑；你的重心是受限窗口集合的规范化、编译和复现。,可支撑“时态授权已有长期理论基础”。,不能支撑“首次引入时间约束访问控制”。,形式模型、时间依赖、更新操作、不良状态,5,是,5,4,5,3,3,4,4,4,2026-07-30
L03,奠基必读/研究内容一,T1,An Access Control Model Supporting Periodicity Constraints and Temporal Reasoning,Elisa Bertino; Claudio Bettini; Elena Ferrari; Pierangela Samarati,1998,"ACM Transactions on Database Systems, 23(3)",10.1145/293910.293151,https://doi.org/10.1145/293910.293151,https://dl.acm.org/doi/10.1145/293910.293151,https://dblp.org/rec/journals/tods/BertinoBFS98,正式发表（同行评审期刊论文）,未发现需替代正式版本的同名预印本,截至2026-07-30，出版商/DBLP或第二核验页面未见撤稿标识；未进行PubPeer等平台的穷尽性审计。,S,研究内容一,表达周期性授权并进行时间推理。,使用周期表达式、时间依赖规则和有效授权集语义，讨论物化计算。,周期和非连续时间授权可被形式化计算，但表达能力、唯一性和执行成本需共同分析。,模型、算法和示例为主。,不解决确定性字节序列化、policyDigest或链上执行。,与你的多窗口、周期性和唯一语义目标高度相关。,其唯一性对象是推理后的有效授权集合；I*是输入窗口集合规范化后的唯一语义表示。,可支撑相关工作基线和“贡献必须定位在确定性编译而非时间授权空白”。,不能支撑任意策略O(log U)压缩或C(P)必优。,周期表达式、授权语义、唯一性、物化算法和复杂度,1,是,5,5,5,3,3,5,4,5,2026-07-30
L04,奠基必读/研究内容一,T1,TRBAC: A Temporal Role-Based Access Control Model,Elisa Bertino; Piero A. Bonatti; Elena Ferrari,2001,"ACM Transactions on Information and System Security, 4(3)",10.1145/501978.501979,https://doi.org/10.1145/501978.501979,https://dl.acm.org/doi/10.1145/501978.501979,https://dblp.org/rec/journals/tissec/BertinoBF01,正式发表（同行评审期刊论文）,未发现需替代正式版本的同名预印本,截至2026-07-30，出版商/DBLP或第二核验页面未见撤稿标识；未进行PubPeer等平台的穷尽性审计。,S,研究内容一,将周期时间、角色启用/禁用和触发器纳入RBAC。,定义周期表达式、角色状态事件和触发规则。,时间约束会改变角色状态机和冲突处理，不能仅作为静态属性比较。,模型与案例为主。,角色中心，不提供通用窗口编译与摘要绑定。,都需处理边界、重叠、状态变化和确定执行顺序。,你的模型故意缩小表达范围以换取唯一表示和可复现编译。,可支撑时态RBAC谱系和执行语义。,不能证明I*、policyDigest或C(P)的新颖性。,模型、周期表达式、触发器、冲突与执行语义,2,是,5,5,5,3,3,5,4,5,2026-07-30
L05,奠基必读/研究内容一,T1,Generalized Temporal Role Based Access Control Model,James B. D. Joshi; Elisa Bertino; Usman Latif; Arif Ghafoor,2005,"IEEE Transactions on Knowledge and Data Engineering, 17(1)",10.1109/TKDE.2005.1,https://doi.org/10.1109/TKDE.2005.1,https://ieeexplore.ieee.org/document/1377049,https://dblp.org/rec/journals/tkde/JoshiBLG05,正式发表（同行评审期刊论文）,未发现需替代正式版本的同名预印本,截至2026-07-30，出版商/DBLP或第二核验页面未见撤稿标识；未进行PubPeer等平台的穷尽性审计。,S,研究内容一,统一更一般的周期角色启用、时间约束、运行时事件和优先级。,GTRBAC形式模型、事件/触发器语义和约束优先级。,复杂时态授权必须定义冲突、优先级和运行时状态，否则实现会产生非确定行为。,理论与案例。,表达力远高于你的冻结范围，未提供规范化字节表示。,可帮助检查时间策略组合和冲突边界。,你的贡献不是替代GTRBAC，而是提供窄范围的确定编译。,可支撑设计取舍：降低表达力换取确定性和可验证性。,不能宣称你的策略语言覆盖GTRBAC。,模型要素、事件、优先级、约束与安全语义,3,是,5,5,5,3,3,5,4,5,2026-07-30
L06,研究内容一/形式分析,T1,Security Analysis for Temporal Role Based Access Control,Emre Uzun; Vijayalakshmi Atluri; Jaideep Vaidya; Shamik Sural; Anna Lisa Ferrara; Gennaro Parlato; P. Madhusudan,2014,"Journal of Computer Security, 22(6): 961–996",10.3233/JCS-140510,https://doi.org/10.3233/JCS-140510,https://content.iospress.com/articles/journal-of-computer-security/jcs510,https://experts.illinois.edu/en/publications/security-analysis-for-temporal-role-based-access-control,正式发表（同行评审期刊论文）,未发现需替代正式版本的同名预印本,截至2026-07-30，出版商/DBLP或第二核验页面未见撤稿标识；未进行PubPeer等平台的穷尽性审计。,S,研究内容一,分析时态RBAC的安全可达性及复杂性。,建立形式语义，将安全查询转化为可分析问题并研究复杂度。,时间触发和状态变化会引入非直观可达路径，测试与形式分析必须区分。,形式分析和案例。,不覆盖I*编译器、区块链和密码撤销。,可作为语义保持、等价性和拒绝状态的严格参照。,你的证据若是定理与测试，就不能写成完整模型检查。,可支撑证据等级和安全查询设计。,不能把pytest通过描述为形式化安全证明。,形式语义、安全查询、复杂度、案例,6,是,4,5,5,3,3,5,5,5,2026-07-30
L07,中文高质量文献,T1,带时间特性的角色访问控制,黄建; 卿斯汉; 温红子,2003,"软件学报, 14(11): 1944–1954",,,https://www.jos.org.cn/1000-9825/14/1944.htm,https://www.jos.org.cn/jos/article/issue/2003_14_11,正式发表（中文核心期刊论文）,未发现需替代正式版本的同名预印本,截至2026-07-30，出版商/DBLP或第二核验页面未见撤稿标识；未进行PubPeer等平台的穷尽性审计。,A,研究内容一,在中文研究语境中建立带时间特性的RBAC模型。,在角色、权限和会话关系中引入时间约束并讨论状态变化。,国内较早系统研究时态RBAC，可用于中文相关工作谱系。,模型与示例。,年代较早，不涉及确定性序列化和区块链。,与时间窗口和角色有效期相关。,你的研究不以角色模型为中心，而以策略编译为中心。,可支撑国内时态访问控制研究基础。,不能作为2021—2026最新进展或系统性能证据。,模型定义、时间约束、安全分析与示例,7,是,4,4,3,3,3,4,4,4,2026-07-30
L08,中文高质量文献,T1,基于周期时间限制的自主访问控制委托模型,张宏; 贺也平; 石志国,2006,"计算机学报, 29(8): 1427–1437",,,http://cjc.ict.ac.cn/online/onlinepaper/zhanghong-2006810102936.pdf,https://ir.iscas.ac.cn/handle/311060/3770,正式发表（中文权威期刊论文）,未发现需替代正式版本的同名预印本,截至2026-07-30，出版商/DBLP或第二核验页面未见撤稿标识；未进行PubPeer等平台的穷尽性审计。,A,研究内容一,研究周期时间限制下的自主访问控制委托。,把周期约束与委托授权传播结合。,时间约束不仅影响直接访问，也影响权限传播和派生。,模型和案例。,委托不是你的核心模块，也无确定性编译。,可用于检查派生权限中的时间语义。,你的冻结方案不以委托为主。,可支撑中文周期时间约束相关工作。,不能支撑CAP2或VersionedHeader设计。,周期表示、委托规则、安全性讨论,8,是,4,4,3,3,3,4,4,4,2026-07-30
L09,ABE奠基背景,T2,Fuzzy Identity-Based Encryption,Amit Sahai; Brent Waters,2005,EUROCRYPT 2005,10.1007/11426639_27,https://doi.org/10.1007/11426639_27,https://link.springer.com/chapter/10.1007/11426639_27,https://dblp.org/rec/conf/eurocrypt/SahaiW05,正式发表（同行评审密码学会议论文）,未发现需替代正式版本的同名预印本,截至2026-07-30，出版商/DBLP或第二核验页面未见撤稿标识；未进行PubPeer等平台的穷尽性审计。,B,背景,提出基于属性相似性的模糊身份加密，为ABE奠基。,使用门限属性匹配和双线性对构造。,加密访问控制可以把资格编码到密钥/密文关系。,密码方案与安全证明。,不是时间策略编译，也不是当前实现主线。,都涉及按策略控制数据访问。,你的论文使用标准混合加密和在线授权，ABE仅为背景。,可支撑ABE概念源流。,不能支撑链状态授权或CAP2。,引言、安全模型、构造概览,22,否,5,3,5,3,3,4,4,3,2026-07-30
L10,ABE奠基背景,T2,Attribute-Based Encryption for Fine-Grained Access Control of Encrypted Data,Vipul Goyal; Omkant Pandey; Amit Sahai; Brent Waters,2006,ACM CCS 2006,10.1145/1180405.1180418,https://doi.org/10.1145/1180405.1180418,https://dl.acm.org/doi/10.1145/1180405.1180418,https://dblp.org/rec/conf/ccs/GoyalPSW06,正式发表（同行评审密码学/安全会议论文）,未发现需替代正式版本的同名预印本,截至2026-07-30，出版商/DBLP或第二核验页面未见撤稿标识；未进行PubPeer等平台的穷尽性审计。,B,背景,提出KP-ABE并实现细粒度加密访问控制。,访问树/属性集合与双线性对。,策略可绑定于密钥或密文，但动态撤销与系统运维并未自动解决。,理论方案与初步效率。,不处理链上状态、Nonce或故障恢复。,策略驱动的数据共享。,你的主方案不采用自研ABE。,可支撑加密访问控制与在线授权的差异。,不能把你的系统写成ABE方案。,模型、构造、表达力和效率,23,否,5,3,5,3,3,4,4,3,2026-07-30
